division,conference,name,handle,use_for_ballot
D3,MASCAC,Plymouth State Panthers,plymouthstate,0
D3,MASCAC,UMass-Dartmouth Corsairs,umassdartmouth,0
D3,MASCAC,Western Connecticut Colonials,westernconnecticutstate,0
D3,MASCAC,Westfield State Owls,westfieldstate,0
D3,MASCAC,Worcester State Lancers,worcesterstate,0
D3,MIAC,Augsburg Auggies,augsburg,0
D3,MIAC,Bethel (MN) Royals,bethel,0
D3,MIAC,Carleton (MN) Knights,carletonmn,0
D3,MIAC,Concordia (MN-Moorhead) Cobbers,concordiamoorhead,0
D3,MIAC,Gustavus Adolphus Golden Gusties,gustavusadolphus,0
D3,MIAC,Hamline Pipers,hamline,0
D3,MIAC,St. John's (MN) Johnnies,stjohnsmn,0
D3,MIAC,St. Olaf Oles,stolaf,0
D3,MIAC,St. Thomas Tommies,stthomasmn,0
D3,Michigan Intercollegiate,Adrian Bulldogs,adrian,0
D3,Michigan Intercollegiate,Albion Britons,albion,0
D3,Michigan Intercollegiate,Alma Scots,alma,0
D3,Michigan Intercollegiate,Hope Flying Dutchmen,hope,0
D3,Michigan Intercollegiate,Kalamazoo Hornets,kalamazoo,0
D3,Michigan Intercollegiate,Olivet Comets,olivet,0
D3,Michigan Intercollegiate,Trine Thunder,trine,0
D3,Middle Atlantic,Albright Lions,albright,0
D3,Middle Atlantic,Delaware Valley Aggies,delawarevalley,0
D3,Middle Atlantic,FDU-Florham Devils,fduflorham,0
D3,Middle Atlantic,King's (PA) Monarchs,kings,0
D3,Middle Atlantic,Lebanon Valley Flying Dutchmen,lebanonvalley,0
D3,Middle Atlantic,Lycoming Warriors,lycoming,0
D3,Middle Atlantic,Misericordia Cougars,misericordia,0
D3,Middle Atlantic,Stevenson Mustangs,stevenson,0
D3,Middle Atlantic,Widener Pride,widener,0
D3,Middle Atlantic,Wilkes Colonels,wilkes,0
D3,Midwest,Beloit Buccaneers,beloit,0
D3,Midwest,Cornell (IA) Rams,cornellia,0
D3,Midwest,Grinnell Pioneers,grinnell,0
D3,Midwest,Illinois College Blueboys,illinoiscollege,0
D3,Midwest,Knox Prairie Fire,knox,0
D3,Midwest,Lake Forest Foresters,lakeforest,0
D3,Midwest,Lawrence Vikings,lawrence,0
D3,Midwest,Macalester Scots,macalester,0
D3,Midwest,Monmouth (IL) Fighting Scots,monmouthil,0
D3,Midwest,Ripon Red Hawks,ripon,0
D3,Midwest,St. Norbert Green Knights,stnorbert,0
D3,NACC,Aurora Spartans,aurora,0
D3,NACC,Benedictine (IL) Eagles,benedictine,0
D3,NACC,Concordia (IL) Cougars,concordiachicago,0
D3,NACC,Concordia (WI) Falcons,concordiawi,0
D3,NACC,Lakeland Muskies,lakeland,0
D3,NACC,Rockford Regents,rockford,0
D3,NACC,Wisconsin Lutheran Warriors,wisconsinlutheran,0
D3,NCAC,Allegheny Gators,allegheny,0
D3,NCAC,Denison Big Red,denison,0
D3,NCAC,DePauw Tigers,depauw,0
D3,NCAC,Hiram Terriers,hiram,0
D3,NCAC,Kenyon Lords,kenyon,0
D3,NCAC,Oberlin Yeomen,oberlin,0
D3,NCAC,Ohio Wesleyan Battling Bishops,ohiowesleyan,0
D3,NCAC,Wabash Little Giants,wabash,0
D3,NCAC,Wittenberg Tigers,wittenberg,0
D3,NCAC,Wooster Fighting Scots,wooster,0
D3,NEFC,Coast Guard Bears,coastguard,0
D3,NEFC,Curry Colonels,curry,0
D3,NEFC,Endicott Power Gulls,endicott,0
D3,NEFC,Maine Maritime Mariners,mainemaritime,0
D3,NEFC,MIT Engineers,mit,0
D3,NEFC,Nichols Bison,nichols,0
D3,NEFC,Salve Regina Seahawks,salveregina,0
D3,NEFC,Western New England Golden Bears,westernnewengland,0
D3,NESCAC,Amherst College,amherst,0
D3,NESCAC,Bates Bobcats,bates,0
D3,NESCAC,Bowdoin Polar Bears,bowdoin,0
D3,NESCAC,Colby White Mules,colby,0
D3,NESCAC,Hamilton Continentals,hamilton,0
D3,NESCAC,Middlebury Panthers,middlebury,0
D3,NESCAC,Trinity (CT) Bantams,trinityct,0
D3,NESCAC,Tufts Jumbos,tufts,0
D3,NESCAC,Wesleyan Cardinals,wesleyan,0
D3,NESCAC,Williams Ephs,williams,0
D3,NJAC,Christopher Newport Captains,christophernewport,0
D3,NJAC,College of New Jersey Lions,tcnj,0
D3,NJAC,Frostburg State Bobcats,frostburgstate,0
D3,NJAC,Kean Cougars,kean,0
D3,NJAC,Montclair State Red Hawks,montclairstate,0
D3,NJAC,Rowan Professors,rowan,0
D3,NJAC,Salisbury Seagulls,salisbury,0
D3,NJAC,Southern Virginia Knights,southernvirginia,0
D3,NJAC,Wesley Wolverines,wesley,0
D3,NJAC,William Paterson Pioneers,williampaterson,0
D3,NWC,George Fox Bruins,georgefox,0
D3,NWC,Lewis & Clark Pioneers,lewisclark,0
D3,NWC,Linfield Wildcats,linfield,0
D3,NWC,Pacific (OR) Boxers,pacificor,0
D3,NWC,Pacific Lutheran Lutes,pacificlutheran,0
D3,NWC,Puget Sound Loggers,pugetsound,0
D3,NWC,Whitworth Pirates,whitworth,0
D3,NWC,Willamette Bearcats,willamette,0
D3,OAC,Baldwin-Wallace Yellow Jackets,baldwinwallace,0
D3,OAC,Capital Crusaders,capital,0
D3,OAC,Heidelberg Fighting Student Princes,heidelberg,0
D3,OAC,John Carroll Blue Streaks,johncarroll,0
D3,OAC,Marietta Pioneers,marietta,0
D3,OAC,Mount Union Purple Raiders,mountunion,0
D3,OAC,Muskingum Fighting Muskies,muskingum,0
D3,OAC,Ohio Northern Polar Bears,ohionorthern,0
D3,OAC,Otterbein Cardinals,otterbein,0
D3,OAC,Wilmington Quakers,wilmington,0
D3,ODAC,Bridgewater Eagles,bridgewater,0
D3,ODAC,Catholic Cardinals,catholic,0
D3,ODAC,Emory & Henry Wasps,emoryhenry,0
D3,ODAC,Guilford Quakers,guilford,0
D3,ODAC,Hampden-Sydney Tigers,hampdensydney,0
D3,ODAC,Randolph-Macon Yellow Jackets,randolphmacon,0
D3,ODAC,Shenandoah Hornets,shenandoah,0
D3,ODAC,Washington & Lee Generals,washingtonlee,0
D3,PAC,Bethany (WV) Bison,bethanywv,0
D3,PAC,Carnegie Mellon Tartans,carnegiemellon,0
D3,PAC,Case Western Reserve Spartans,casewestern,0
D3,PAC,Geneva Golden Tornadoes,geneva,0
D3,PAC,Grove City Wolverines,grovecity,0
D3,PAC,St. Vincent Bearcats,saintvincent,0
D3,PAC,Thiel Tomcats,thiel,0
D3,PAC,Thomas More Saints,thomasmore,0
D3,PAC,Washington & Jefferson Presidents,washingtonjefferson,0
D3,PAC,Waynesburg Yellow Jackets,waynesburg,0
D3,PAC,Westminster (PA) Titans,westministerpa,0
D3,SAA,Berry Vikings,berry,0
D3,SAA,Birmingham-Southern Panthers,birminghamsouthern,0
D3,SAA,Centre Praying Colonels,centre,0
D3,SAA,Chicago Maroons,chicago,0
D3,SAA,Hendrix Warriors,hendrix,0
D3,SAA,Millsaps Majors,millsaps,0
D3,SAA,Rhodes Lynx,rhodes,0
D3,SAA,Sewanee Tigers,sewanee,0
D3,SAA,Washington (MO) Bears,washingtonu,0
D3,SCAC,Austin Kangaroos,austin,0
D3,SCAC,Southwestern (TX) Pirates,southwesterntx,0
D3,SCAC,Texas Lutheran Bulldogs,texaslutheran,0
D3,SCAC,Trinity (TX) Tigers,trinitytx,0
D3,SCIAC,Cal Lutheran Kingsmen,callutheran,0
D3,SCIAC,Chapman Panthers,chapman,0
D3,SCIAC,Claremont-Mudd-Scripps Stags,claremontmuddscripps,0
D3,SCIAC,La Verne Leopards,laverne,0
D3,SCIAC,Occidental Tigers,occidental,0
D3,SCIAC,Pomona-Pitzer Sagehens,pomonapitzer,0
D3,SCIAC,Redlands Bulldogs,redlands,0
D3,SCIAC,Whittier Poets,whittier,0
D3,UMAC,Crown Storm,crown,0
D3,UMAC,Eureka Red Devils,eureka,0
D3,UMAC,Greenville Panthers,greenville,0
D3,UMAC,Iowa Wesleyan Tigers,iowawesleyan,0
D3,UMAC,MacMurray Highlanders,macmurray,0
D3,UMAC,Martin Luther Knights,martinluther,0
D3,UMAC,Minnesota-Morris Cougars,minnesotamorris,0
D3,UMAC,Northwestern (MN) Eagles,northwesternstpaul,0
D3,UMAC,St. Scholastica Saints,stscholastica,0
D3,UMAC,Westminster (MO) Blue Jays,westministermo,0
D3,USA South,Averett Cougars,averett,0
D3,USA South,Ferrum Panthers,ferrum,0
D3,USA South,Greensboro Pride,greensboro,0
D3,USA South,Huntingdon Hawks,huntingdon,0
D3,USA South,LaGrange Panthers,lagrange,0
D3,USA South,Maryville Scots,maryville,0
D3,USA South,Methodist Monarchs,methodist,0
D3,USA South,NC Wesleyan Battling Bishops,ncwesleyan,0
D3,WIAC,Wisconsin-Eau Claire Blugolds,wisconsineauclaire,0
D3,WIAC,Wisconsin-La Crosse Eagles,wisconsinlacrosse,0
D3,WIAC,Wisconsin-Oshkosh Titans,wisconsinoshkosh,0
D3,WIAC,Wisconsin-Platteville Pioneers,wisconsinplatteville,0
D3,WIAC,Wisconsin-River Falls Falcons,wisconsinriverfalls,0
D3,WIAC,Wisconsin-Stevens Point Pointers,wisconsinstevenspoint,0
D3,WIAC,Wisconsin-Stout Blue Devils,wisconsinstout,0
D3,WIAC,Wisconsin-Whitewater Warhawks,wisconsinwhitewater,0
D3,D3 Independents,Finlandia Lions,finlandia,0
D3,D3 Independents,Maranatha Baptist Sabercats,maranathabaptist,0
D3,D3 Independents,UNE Nor'easters,une,0
NAIA,CSFL,Arizona Christian Firestorm,azchristian,0
NAIA,CSFL,Bacone Warriors,bacone,0
NAIA,CSFL,Langston Lions,langston,0
NAIA,CSFL,Lyon Scots,lyon,0
NAIA,CSFL,SW Assemblies of God Lions,southwesternassembliesofgod,0
NAIA,CSFL,Texas College Steers,texascollege,0
NAIA,CSFL,Wayland Baptist Pioneers,waylandbaptist,0
NAIA,Frontier,Carroll (MT) Fighting Saints,carrollmt,0
NAIA,Frontier,Eastern Oregon Mountaineers,easternoregon,0
NAIA,Frontier,Montana State-Northern Northern Lights,montanastatenorthern,0
NAIA,Frontier,Montana Tech Orediggers,montanatech,0
NAIA,Frontier,Montana-Western Bulldogs,montanawestern,0
NAIA,Frontier,Rocky Mountain Battlin' Bears,rockymountain,0
NAIA,Frontier,Southern Oregon Raiders,southernoregon,0
NAIA,Frontier,College of Idaho Coyotes,collegeidaho,0
NAIA,Great Plains,Briar Cliff Chargers,briarcliff,0
NAIA,Great Plains,Concordia (NE) Bulldogs,concordiane,0
NAIA,Great Plains,Dakota Wesleyan Tigers,dakotawesleyan,0
NAIA,Great Plains,Doane Tigers,doane,0
NAIA,Great Plains,Dordt Defenders,dordt,0
NAIA,Great Plains,Hastings Broncos,hastings,0
NAIA,Great Plains,Midland Warriors,midland,0
NAIA,Great Plains,Morningside Mustangs,morningside,0
NAIA,Great Plains,Northwestern (IA) Red Raiders,northwesternia,0
NAIA,Heart of America,Avila Eagles,avila,0
NAIA,Heart of America,Baker Wildcats,baker,0
NAIA,Heart of America,Benedictine (KS) Ravens,benedictineks,0
NAIA,Heart of America,Central Methodist Eagles,centralmethodist,0
NAIA,Heart of America,Clarke Crusaders,clarke,0
NAIA,Heart of America,Culver-Stockton Wildcats,culverstockton,0
NAIA,Heart of America,Evangel Crusaders,evangel,0
NAIA,Heart of America,Graceland Yellowjackets,graceland,0
NAIA,Heart of America,Grand View Vikings,grandview,0
NAIA,Heart of America,MidAmerica Nazarene Pioneers,midamericanazarene,0
NAIA,Heart of America,Missouri Valley Vikings,missourivalley,0
NAIA,Heart of America,Peru State Bobcats,perustate,0
NAIA,Heart of America,William Penn Statesmen,williampenn,0
NAIA,Kansas Collegiate,Bethany (KS) Terrible Swedes,bethanyks,0
NAIA,Kansas Collegiate,Bethel (KS) Threshers,bethelks,0
NAIA,Kansas Collegiate,Friends Falcons,friends,0
NAIA,Kansas Collegiate,Kansas Wesleyan Coyotes,kansaswesleyan,0
NAIA,Kansas Collegiate,McPherson Bulldogs,mcpherson,0
NAIA,Kansas Collegiate,Ottawa (KS) Braves,ottawaks,0
NAIA,Kansas Collegiate,Southwestern (KS) Moundbuilders,southwesternks,0
NAIA,Kansas Collegiate,St. Mary (KS) Spires,saintmary,0
NAIA,Kansas Collegiate,Sterling Warriors,sterling,0
NAIA,Kansas Collegiate,Tabor Bluejays,tabor,0
NAIA,Mid-South,Bethel (TN) Wildcats,betheltn,0
NAIA,Mid-South,Bluefield Rams,bluefield,0
NAIA,Mid-South,Campbellsville Tigers,campbellsville,0
NAIA,Mid-South,Cincinnati Christian Eagles,cincinnatichristian,0
NAIA,Mid-South,Cumberland Phoenix,cumberland,0
NAIA,Mid-South,Cumberlands Patriots,cumberlands,0
NAIA,Mid-South,Faulkner Eagles,faulkner,0
NAIA,Mid-South,Georgetown (KY) Tigers,georgetownky,0
NAIA,Mid-South,Kentucky Christian Knights,kentuckychristian,0
NAIA,Mid-South,Lindsey Wilson Blue Raiders,lindseywilson,0
NAIA,Mid-South,Pikeville Bears,pikeville,0
NAIA,Mid-South,Reinhardt Eagles,reinhardt,0
NAIA,Mid-South,St. Andrew's (NC) Knights,standrewsnc,0
NAIA,Mid-South,Union (KY) Bulldogs,unionky,0
NAIA,MSFA,Concordia (MI) Cardinals,concordiami,0
NAIA,MSFA,Indiana Wesleyan Wildcats,indianawesleyan,0
NAIA,MSFA,Lindenwood-Belleville Lynx,lindenwoodbelleville,0
NAIA,MSFA,Marian Knights,marian,0
NAIA,MSFA,Missouri Baptist Spartans,missouribaptist,0
NAIA,MSFA,Olivet Nazarene Tigers,olivetnazarene,0
NAIA,MSFA,Robert Morris (IL) Eagles,robertmorrisil,0
NAIA,MSFA,Siena Heights Saints,sienaheights,0
NAIA,MSFA,St. Ambrose Fighting Bees,stambrose,0
NAIA,MSFA,St. Francis (IL) Fighting Saints,stfrancisil,0
NAIA,MSFA,St. Francis (IN) Cougars,saintfrancisin,0
NAIA,MSFA,St. Xavier Cougars,saintxavier,0
NAIA,MSFA,Taylor Trojans,taylor,0
NAIA,MSFA,Trinity International Trojans,trinityinternational,0
NAIA,NSAA,Dakota State Trojans,dakotastate,0
NAIA,NSAA,Dickinson State Blue Hawks,dickinsonstate,0
NAIA,NSAA,Jamestown Jimmies,jamestown,0
NAIA,NSAA,Mayville State Comets,mayvillestate,0
NAIA,NSAA,Presentation Saints,presentation,0
NAIA,NSAA,Valley City State Vikings,valleycitystate,0
NAIA,NSAA,Waldorf Warriors,waldorf,0
NAIA,The Sun,Ave Maria Gyrenes,avemaria,0
NAIA,The Sun,Edward Waters Tigers,edwardwaters,0
NAIA,The Sun,Point Skyhawks,point,0
NAIA,The Sun,Southeastern Fire,southeastern,0
NAIA,The Sun,Warner Royals,warner,0
NAIA,The Sun,Webber International Warriors,webberinternational,0
USCAA,USCAA,Apprentice Ship Builders,apprentice,0
USCAA,USCAA,Concordia (AL) Hornets,concordiaal,0
USCAA,USCAA,Ohio Midwestern Rams,ohiomw,0
USCAA,USCAA,Virginia-Lynchburg Dragons,virginialynchburg,0
USCAA,USCAA,Williamson Mechanics,williamson,0
CCCAA,North American,Cabrillo Seahawks,cabrillo,0
CCCAA,North American,College of the Redwoods Corsairs,collegeredwoods,0
CCCAA,North American,Foothill Owls,foothill,0
CCCAA,North American,Gavilan Rams,gavilan,0
CCCAA,North American,Hartnell Panthers,hartnell,0
CCCAA,North American,Los Medanos Mustangs,losmedanos,0
CCCAA,North American,Mendocino Eagles,mendocino,0
CCCAA,North American,Merced Blue Devils,merced,0
CCCAA,North American,Monterey Peninsula Lobos,montereypeninsula,0
CCCAA,North American,Reedley Tigers,reedley,0
CCCAA,North American,San Jose City Jaguars,sanjosecity,0
CCCAA,North American,Shasta Knights,shasta,0
CCCAA,North American,West Hills Falcons,westhills,0
CCCAA,North American,Yuba 49ers,yuba,0
CCCAA,North National,American River Beavers,americanriver,0
CCCAA,North National,Butte Roadrunners,butte,0
CCCAA,North National,CC San Francisco Rams,ccsanfrancisco,0
CCCAA,North National,Chabot Gladiators,chabot,0
CCCAA,North National,College of the Sequoias Giants,collegesequoias,0
CCCAA,North National,College of the Siskiyous Eagles,collegesiskiyous,0
CCCAA,North National,Contra Costa Comets,contracosta,0
CCCAA,North National,De Anza Dons,deanza,0
CCCAA,North National,Diablo Valley Vikings,diablovalley,0
CCCAA,North National,Feather River Golden Eagles,featherriver,0
CCCAA,North National,Fresno City Rams,fresnocity,0
CCCAA,North National,Laney Eagles,laney,0
CCCAA,North National,Modesto Junior Pirates,modestojunior,0
CCCAA,North National,Sacramento City Panthers,sacramentocity,0
CCCAA,North National,San Joaquin Delta Mustangs,sanjoaquindelta,0
CCCAA,North National,San Mateo Bulldogs,sanmateo,0
CCCAA,North National,Santa Rosa Junior Bear Cubs,santarosajunior,0
CCCAA,North National,Sierra Wolverines,sierra,0
CCCAA,South American,Allan Hancock Bulldogs,allanhancock,0
CCCAA,South American,Antelope Valley Marauders,antelopevalley,0
CCCAA,South American,Citrus Fighting Owls,citrus,0
CCCAA,South American,College of the Desert Roadrunners,collegedesert,0
CCCAA,South American,Compton CC Tartars,comptoncc,0
CCCAA,South American,East Los Angeles Huskies,eastlosangeles,0
CCCAA,South American,Glendale CC (CA) Vaqueros,glendaleccca,0
CCCAA,South American,Los Angeles Pierce Brahma Bulls,losangelespierce,0
CCCAA,South American,Los Angeles Southwest Cougars,losangelessouthwest,0
CCCAA,South American,Los Angeles Valley Monarchs,losangelesvalley,0
CCCAA,South American,Mt. San Jacinto Eagles,mtsanjacinto,0
CCCAA,South American,Pasadena City Lancers,pasadenacity,0
CCCAA,South American,San Bernardino Valley Wolverines,sanbernardinovalley,0
CCCAA,South American,San Diego Mesa Olympians,sandiegomesa,0
CCCAA,South American,Santa Ana Dons,santaana,0
CCCAA,South American,Santa Barbara City Vaqueros,santabarbaracity,0
CCCAA,South American,Southwestern Jaguars,southwestern,0
CCCAA,South American,Victor Valley Rams,victorvalley,0
CCCAA,South American,West Los Angeles Wildcats,westlosangeles,0
CCCAA,South National,Bakersfield Renegades,bakersfield,0
CCCAA,South National,Cerritos Falcons,cerritos,0
CCCAA,South National,Chaffey Panthers,chaffey,0
CCCAA,South National,College of the Canyons Cougars,collegecanyons,0
CCCAA,South National,El Camino Warriors,elcamino,0
CCCAA,South National,Fullerton Hornets,fullerton,0
CCCAA,South National,Golden West Rustlers,goldenwest,0
CCCAA,South National,Grossmont Griffins,grossmont,0
CCCAA,South National,Long Beach City Vikings,longbeachcity,0
CCCAA,South National,Los Angeles Harbor Seahawks,losangelesharbor,0
CCCAA,South National,Moorpark Raiders,moorpark,0
CCCAA,South National,Mt. SAC Mounties,mountsanantonio,0
CCCAA,South National,Orange Coast Pirates,orangecoast,0
CCCAA,South National,Palomar Comets,palomar,0
CCCAA,South National,Riverside CC Tigers,riversidecc,0
CCCAA,South National,Saddleback Gauchos,saddleback,0
CCCAA,South National,Santa Monica Corsairs,santamonica,0
CCCAA,South National,Ventura Pirates,ventura,0
NJCAA,Iowa Community College Athletic Conference,Ellsworth CC Panthers,ellsworthcc,0
NJCAA,Iowa Community College Athletic Conference,Iowa Central CC Tritons,iowacentralcc,0
NJCAA,Iowa Community College Athletic Conference,Iowa Western CC Reivers,iowawesterncc,0
NJCAA,Kansas Jayhawk Community College Conference,Butler CC Grizzlies,butlercc,0
NJCAA,Kansas Jayhawk Community College Conference,Coffeyville CC Red Ravens,coffeyvillecc,0
NJCAA,Kansas Jayhawk Community College Conference,Dodge City CC Conquistadors,dodgecitycc,0
NJCAA,Kansas Jayhawk Community College Conference,Fort Scott CC Greyhounds,fortscottcc,0
NJCAA,Kansas Jayhawk Community College Conference,Garden City CC Broncbusters,gardencitycc,0
NJCAA,Kansas Jayhawk Community College Conference,Highland CC Scotties,highlandcc,0
NJCAA,Kansas Jayhawk Community College Conference,Hutchinson CC Dragons,hutchinsoncc,0
NJCAA,Kansas Jayhawk Community College Conference,Independence CC Pirates,independencecc,0
NJCAA,Minnesota College Athletic Conference,Central Lakes Raiders,centrallakes,0
NJCAA,Minnesota College Athletic Conference,Dakota College Lumberjacks,dakotacollege,0
NJCAA,Minnesota College Athletic Conference,Fond du Lac Thunder,fonddulac,0
NJCAA,Minnesota College Athletic Conference,Itasca CC Vikings,itascacc,0
NJCAA,Minnesota College Athletic Conference,Mesabi Range CTC Norse,mesabirangectc,0
NJCAA,Minnesota College Athletic Conference,Minnesota State CTC Spartans,minnesotastatectc,0
NJCAA,Minnesota College Athletic Conference,Minnesota West CTC Bluejays,minnesotawestctc,0
NJCAA,Minnesota College Athletic Conference,North Dakota Science Wildcats,northdakotascience,0
NJCAA,Minnesota College Athletic Conference,Northland CTC Pioneers,northlandctc,0
NJCAA,Minnesota College Athletic Conference,Ridgewater Warriors,ridgewater,0
NJCAA,Minnesota College Athletic Conference,Rochester CTC Yellowjackets,rochesterctc,0
NJCAA,Minnesota College Athletic Conference,Vermilion CC Ironmen,vermillion,0
NJCAA,MACJC,Coahoma CC Tigers,coahomacc,0
NJCAA,MACJC,Copiah-Lincoln CC Wolfpack,copiahlincolncc,0
NJCAA,MACJC,East Central CC Warriors,eastcentralcc,0
NJCAA,MACJC,East Mississippi CC Lions,eastmississippicc,0
NJCAA,MACJC,Hinds CC Eagles,hinds,0
NJCAA,MACJC,Holmes CC Bulldogs,holmes,0
NJCAA,MACJC,Itawamba CC Indians,itawambacc,0
NJCAA,MACJC,Jones County JC Bobcats,jonescountyjc,0
NJCAA,MACJC,Mississippi Delta CC Trojans,mississippideltacc,0
NJCAA,MACJC,Mississippi Gulf Coast CC Bulldogs,mississippigulfcoastcc,0
NJCAA,MACJC,Northeast Mississippi CC Tigers,northeastmississippicc,0
NJCAA,MACJC,Northwest Mississippi CC Rangers,northwestmississippicc,0
NJCAA,MACJC,Pearl River CC Wildcats,pearlrivercc,0
NJCAA,MACJC,Southwest Mississippi CC Bears,southwestmississippicc,0
NJCAA,Northeast JC Football Conference,ASA Avengers,asa,0
NJCAA,Northeast JC Football Conference,Lackawanna Falcons,lackawanna,0
NJCAA,Northeast JC Football Conference,Louisburg Hurricanes,louisburg,0
NJCAA,Northeast JC Football Conference,Monroe Mustangs,monroe,0
NJCAA,Northeast JC Football Conference,Nassau CC Lions,nassaucc,0
NJCAA,Southwest Junior College Football Conference,Blinn Buccaneers,blinn,0
NJCAA,Southwest Junior College Football Conference,Cisco Wranglers,cisco,0
NJCAA,Southwest Junior College Football Conference,Kilgore Rangers,kilgore,0
NJCAA,Southwest Junior College Football Conference,Navarro Bulldogs,navarro,0
NJCAA,Southwest Junior College Football Conference,Northeastern Oklahoma A&M Golden Norsemen,northeasternoklahomaam,0
NJCAA,Southwest Junior College Football Conference,Trinity Valley CC Cardinals,trinityvalleycc,0
NJCAA,Southwest Junior College Football Conference,Tyler JC Apaches,tylerjc,0
NJCAA,Western States Football League,Arizona Western Matadors,arizonawestern,0
NJCAA,Western States Football League,Eastern Arizona Gila Monsters,easternarizona,0
NJCAA,Western States Football League,Glendale CC (AZ) Gauchos,glendaleccaz,0
NJCAA,Western States Football League,Mesa CC Thunderbirds,mesacc,0
NJCAA,Western States Football League,New Mexico Military Broncos,newmexicomilitary,0
NJCAA,Western States Football League,Phoenix Bears,phoenix,0
NJCAA,Western States Football League,Pima CC Aztecs,pimacc,0
NJCAA,Western States Football League,Scottsdale CC Fighting Artichokes,scottsdalecc,0
NJCAA,Western States Football League,Snow Badgers,snow,0
NJCAA,NJCAA Independents,Arkansas Baptist Buffaloes,arkansasbaptist,0
NJCAA,NJCAA Independents,ASA Miami Silver Storm,asamiami,0
NJCAA,NJCAA Independents,DuPage Chaparrals,dupage,0
NJCAA,NJCAA Independents,Erie CC Kats,eriecc,0
NJCAA,NJCAA Independents,Georgia Military Bulldogs,georgiamilitary,0
NJCAA,NJCAA Independents,Globe Institute of Technology Knights,globetech,0
NJCAA,NJCAA Independents,Hocking Hawks,hocking,0
NJCAA,NJCAA Independents,Hudson Valley CC Vikings,hudsonvalleycc,0
Other,AIFC,Alabama Prep-Birmingham Spartans,alabamaprep,0
Other,AIFC,APA Panthers,apa,0
Other,AIFC,Atlanta Sports Academy Spartans,atlantasportsacademy,0
Other,AIFC,Elite One Academy Lions,eliteoneacademy,0
Other,AIFC,Littlejohn Sports Academy Ravens,littlejohnsportsacademy,0
Other,AIFC,Port City Ocean Crusaders,portcity,0
Other,AIFC,University of God's Chosen Disciples,universitygodschosen,0
Other,ASCAA,College of Faith (AR) Warriors,collegeoffaithar,0
Other,ASCAA,College of Faith (NC) Saints,collegeoffaith,0
Other,ASCAA,University of Faith (FL) Glory Eagles,universityoffaith,0
Other,ASCAA,University of Faith (OK) Kings,universityfaithok,0
Other,EAC,Gattaca Florida Hurricanes,gattacaflorida,0
Other,EAC,Georgia Prep SA Lions,georgiaprepsa,0
Other,EAC,North Georgia SA Mountaineers,northgeorgiasa,0
Other,EAC,OC Tech Gladiators,octech,0
Other,EAC,Palmetto Prep Minutemen,palmettoprep,0
Other,NWJCFL,Central Sound Warhawks,centralsoundjc,0
Other,NWJCFL,Eastside JC Bulldogs,eastsidejc,0
Other,NWJCFL,Everett Red Raiders,everett,0
Other,NWJCFL,Lewis and Clark Valley Loggers,lewisclarkvalley,0
Other,UTFL,Salt Lake CC Bruins,slcc,0
Other,Independent,Central International Cardinals,centralinternational,0
Other,Independent,DC Metro Wolves,dcmetro,0
Other,Independent,Delaware Tech CC Gamecocks,delawaretechcc,0
Other,Independent,Fort Lauderdale Eagles,fortlauderdale,0
Other,Independent,Jersey Coast Academy Jaguars,jerseycoast,0
Other,Independent,Morthland Patriots,morthland,0
Other,Independent,Redemption Dragon Slayers,redemption,0
Other,Independent,Redemption Academy Dragons,redemptionacademy,0
Other,Independent,Texas A&T Drillers,texasat,0
Other,Independent,Thaddeus Stevens Bulldogs,thaddeusstevens,0
Other,Independent,Trinity Bible College Lions,trinitybible,0
Other,Independent,Valley Forge MA&C Trojans,valleyforgemac,0
Other,Independent,Zoubida Cole Jaguars,zoubidacole,0
Club,NCFA,Chattahoochee Technical College Golden Eagles,chattahoocheetc,0
Club,NCFA,Columbus State Cougars,columbusstate,0
Club,NCFA,Coppin State Eagles,coppinstate,0
Club,NCFA,Eastern Connecticut State Warriors,easternconnecticutstate,0
Club,NCFA,George Mason Patriots,georgemason,0
Club,NCFA,Longwood Lancers,longwood,0
Club,NCFA,Michigan-Flint Kodiaks,michiganflint,0
Club,NCFA,Middle Georgia State Knights,middlegeorgiastate,0
Club,NCFA,Oakland Golden Grizzlies,oakland,0
Club,NCFA,Onondaga CC Ogres,onondagacc,0
Club,NCFA,Radford Highlanders,radford,0
Club,NCFA,Robert Morris-Peoria Eagles,robertmorrispeoria,0
Club,NCFA,Shepherd Bible College Eagles,shepherdbiblecollege,0
Club,NCFA,SIUE Cougars,siue,0
Club,NCFA,VCU Rams,vcu,0
Club,NCFA,Wisconsin-Parkside Rangers,wisconsinparkside,0
Club,NCFA,Wright State Raiders,wrightstate,0
Club,ICFF,Central Ohio Tech Titans,ohiotech,0
Club,ICFF,Hartford Hawks,hartford,0
Club,ICFF,SW Connecticut Prep Grizzlies,swconnecticutprep,0
Club,CSFL,Caldwell Cougars,caldwell,0
Club,CSFL,Chestnut Hill Griffins,chestnuthill,0
Club,CSFL,Franklin Pierce Ravens,franklinpierce,0
Club,CSFL,Mansfield Mountaineers,mansfield,0
Club,CSFL,Post Eagles,post,0
IFAF,IFAF,Australia Outback,australia,0
IFAF,IFAF,Austria National Team,austria,0
IFAF,IFAF,Brazil Onças,brazil,0
IFAF,IFAF,Canada National Team,canada,0
IFAF,IFAF,China National Team,china,0
IFAF,IFAF,Finland National Team,finland,0
